Jornada;HoraP1;HoraP2;GRAVEDAD_ACCIDENTE;CLASE_ACCIDENTE;direccion_normalizada;tipo_principal;num_principal;tipo_secundaria;num_secundaria;FRECUENCIA;Heridos;Muertos;Material;YEAR;MES;DIA;Ponderacion;Riesgo
Tarde;No;No;Heridos;Choque;15 SUR CL 110;CL;110;;;1;si;no;no;2018;October;Wed;5.33;Bajo
Noche;No;No;Material;Choque;AV CIRCUNVALAR CL 90B;CL;90B;;;1;no;no;no;2019;September;Thu;4.67;Bajo
Tarde;No;Si;Heridos;Atropello;CL 17 CR 22;CL;17;CR;22;1;si;no;no;2018;July;Tue;9.67;Moderado
Noche;No;No;Material;Choque;AV CIRCUNVALAR CL 110 CR 43;CL;110;CR;43;1;no;no;no;2021;November;Tue;4.67;Bajo
Noche;No;Si;Heridos;Caida Ocupante;AV CORDIALIDAD CR 5A;CR;5A;;;1;si;no;no;2024;February;Tue;9.33;Moderado
Morning;Si;No;Heridos;Choque;AV 100 CR 14;AV;100;CR;14;1;si;no;no;2018;June;Tue;8.0;Moderado
Morning;Si;No;Material;Choque;AV 110 CR 53;AV;110;CR;53;1;no;no;no;2019;August;Thu;7.0;Moderado
Morning;No;No;Heridos;Choque;AV 110 CL 110;AV;110;CL;110;2;si;no;no;2021;March;Mon;6.0;Bajo
Morning;No;No;Material;Choque;AV 110 CL 110;AV;110;CL;110;2;no;no;no;2021;March;Mon;5.0;Bajo
Tarde;No;Si;Heridos;Choque;AV 110 CL 30;AV;110;CL;30;1;si;no;no;2019;September;Wed;8.33;Moderado
Morning;Si;No;Material;Choque;AV 110 CL 35;AV;110;CL;35;1;no;no;no;2021;May;Tue;7.0;Moderado
Tarde;No;No;Material;Choque;AV 110 CL 36;AV;110;CL;36;1;no;no;no;2021;August;Wed;4.33;Bajo
Noche;No;No;Material;Choque;AV 110 CL 45;AV;110;CL;45;1;no;no;no;2018;December;Sat;4.67;Bajo
Tarde;No;No;Material;Choque;AV 110 CL 45;AV;110;CL;45;1;no;no;no;2019;January;Sat;4.33;Bajo
Tarde;No;No;Material;Choque;AV 110 CL 46;AV;110;CL;46;1;no;no;no;2019;April;Thu;4.33;Bajo
Tarde;No;No;Material;Choque;AV 110 CL 46;AV;110;CL;46;3;no;no;no;2020;November;Mon;6.33;Moderado
Tarde;No;No;Material;Choque;AV 110 CL 46;AV;110;CL;46;3;no;no;no;2021;February;Sat;6.33;Moderado
Morning;Si;No;Material;Choque;AV 110 CL 46;AV;110;CL;46;3;no;no;no;2021;March;Sat;9.0;Moderado
Morning;Si;No;Material;Choque;AV 110 CL 47;AV;110;CL;47;4;no;no;no;2018;January;Fri;9.0;Moderado
Morning;No;No;Material;Choque;AV 110 CL 47;AV;110;CL;47;4;no;no;no;2018;July;Wed;6.0;Bajo
Morning;No;No;Material;Choque;AV 110 CL 47;AV;110;CL;47;4;no;no;no;2019;January;Fri;6.0;Bajo
Noche;No;No;Material;Choque;AV 110 CL 47;AV;110;CL;47;4;no;no;no;2019;August;Tue;6.67;Moderado
Morning;No;No;Heridos;Choque;AV 110 CL 47;AV;110;CL;47;1;si;no;no;2021;April;Mon;5.0;Bajo
Morning;Si;No;Heridos;Choque;AV 110 CL 47A;AV;110;CL;47A;1;si;no;no;2021;June;Sun;8.0;Moderado
Tarde;No;No;Material;Choque;AV 110 CL 47D;AV;110;CL;47D;1;no;no;no;2019;August;Wed;4.33;Bajo
Tarde;No;No;Material;Choque;AV 110 CL 49;AV;110;CL;49;1;no;no;no;2019;June;Sun;4.33;Bajo
Noche;No;No;Material;Choque;AV 110 CL 49;AV;110;CL;49;1;no;no;no;2019;August;Sat;4.67;Bajo
Noche;No;No;Heridos;Choque;AV 110 CL 51B;AV;110;CL;51B;4;si;no;no;2019;October;Sun;7.67;Moderado
Tarde;No;No;Material;Choque;AV 110 CL 51B;AV;110;CL;51B;4;no;no;no;2021;February;Sat;6.33;Moderado
Tarde;No;No;Material;Choque;AV 110 CL 51B;AV;110;CL;51B;4;no;no;no;2021;March;Fri;6.33;Moderado
Noche;No;No;Material;Choque;AV 110 CL 51B;AV;110;CL;51B;4;no;no;no;2021;April;Mon;6.67;Moderado
Noche;No;No;Material;Choque;AV 110 CL 69;AV;110;CL;69;1;no;no;no;2018;October;Fri;4.67;Bajo
Tarde;No;No;Material;Choque;AV 110 CL 70;AV;110;CL;70;1;no;no;no;2021;April;Wed;4.33;Bajo
Morning;No;No;Heridos;Choque;AV 110 CL 73;AV;110;CL;73;1;si;no;no;2021;March;Fri;5.0;Bajo
Morning;No;No;Material;Choque;AV 110 CL 77;AV;110;CL;77;1;no;no;no;2020;January;Sun;4.0;Bajo
Noche;No;No;Heridos;Choque;AV 110 CL 93;AV;110;CL;93;1;si;no;no;2019;January;Sat;5.67;Bajo
Tarde;No;No;Material;Choque;AV 110 CL 95;AV;110;CL;95;2;no;no;no;2019;October;Wed;5.33;Bajo
